call all ; time=0.00
go-here-to-vertex 8 ; time=0.00
direct workers 15 to treasure 35 ; time=7.00
direct workers 15 to treasure 34 ; time=7.00
direct workers 1 to treasure 28 ; time=7.00
direct workers 1 to treasure 30 ; time=7.00
direct workers 1 to treasure 26 ; time=7.00
direct workers 10 to treasure 23 ; time=7.00
direct workers 1 to treasure 29 ; time=7.00
direct workers 1 to treasure 27 ; time=7.00
direct workers 1 to treasure 31 ; time=7.00
go-here-to-vertex 1 ; time=7.00
direct workers 3 to treasure 11 ; time=15.00
direct workers 1 to treasure 0 ; time=15.00
go-here-to-vertex 0 ; time=15.00
wait-workers 32 ; time=18.00
call all ; time=21.00
go-here-to-vertex 10 ; time=21.00
direct workers 15 to treasure 33 ; time=28.00
direct workers 1 to treasure 5 ; time=28.00
direct workers 1 to treasure 4 ; time=28.00
direct workers 15 to treasure 32 ; time=28.00
go-here-to-vertex 11 ; time=28.00
direct workers 10 to treasure 25 ; time=30.00
direct workers 1 to treasure 7 ; time=30.00
direct workers 3 to treasure 17 ; time=30.00
direct workers 1 to treasure 6 ; time=30.00
go-here-to-vertex 7 ; time=30.00
direct workers 3 to treasure 15 ; time=36.00
go-here-to-vertex 0 ; time=36.00
wait-workers 8 ; time=39.00
call all ; time=42.00
go-here-to-vertex 9 ; time=42.00
direct workers 5 to treasure 21 ; time=47.00
direct workers 3 to treasure 18 ; time=47.00
go-here-to-vertex 13 ; time=47.00
direct workers 3 to treasure 16 ; time=51.00
direct workers 10 to treasure 24 ; time=51.00
direct workers 1 to treasure 8 ; time=51.00
direct workers 1 to treasure 9 ; time=51.00
go-here-to-vertex 0 ; time=51.00
wait-workers 15 ; time=60.00
call all ; time=60.00
go-here-to-vertex 4 ; time=60.00
direct workers 5 to treasure 20 ; time=67.00
direct workers 10 to treasure 22 ; time=67.00
go-here-to-vertex 5 ; time=67.00
direct workers 3 to treasure 13 ; time=71.00
direct workers 1 to treasure 2 ; time=71.00
direct workers 3 to treasure 14 ; time=71.00
go-here-to-vertex 3 ; time=71.00
direct workers 5 to treasure 19 ; time=73.00
direct workers 1 to treasure 3 ; time=73.00
direct workers 3 to treasure 12 ; time=73.00
go-here-to-vertex 2 ; time=73.00
direct workers 1 to treasure 1 ; time=77.00
direct workers 3 to treasure 10 ; time=77.00
wait-time 10000 ; time=77.00
; Complete! time=87.00
